Timestamp,Machine_ID,Power_Consumption_kW,Machine_Status,Alarm_Code
2024-01-15 00:00:00,Machine_1,172.50,Running,None
2024-01-15 00:00:00,Machine_2,124.66,Running,None
2024-01-15 00:00:00,Machine_3,122.50,Running,Low Pressure
2024-01-15 00:00:00,Machine_4,119.01,Running,Overheat
2024-01-15 00:00:00,Machine_5,147.93,Running,None
2024-01-15 00:00:00,Machine_6,104.58,Running,None
2024-01-15 00:00:00,Machine_7,103.74,Running,None
2024-01-15 00:00:00,Machine_8,113.22,Error,Low Pressure
2024-01-15 00:00:00,Machine_9,130.57,Running,None
2024-01-15 00:00:00,Machine_10,181.70,Running,None
2024-01-15 00:15:00,Machine_1,151.46,Error,Low Pressure
2024-01-15 00:15:00,Machine_2,151.98,Running,None
2024-01-15 00:15:00,Machine_3,172.90,Running,Low Pressure
2024-01-15 00:15:00,Machine_4,179.59,Running,None
2024-01-15 00:15:00,Machine_5,134.39,Running,None
2024-01-15 00:15:00,Machine_6,105.53,Running,Low Pressure
2024-01-15 00:15:00,Machine_7,137.17,Running,None
2024-01-15 00:15:00,Machine_8,175.16,Running,None
2024-01-15 00:15:00,Machine_9,115.26,Running,None
2024-01-15 00:15:00,Machine_10,188.54,Running,None
2024-01-15 00:30:00,Machine_1,199.66,Running,None
2024-01-15 00:30:00,Machine_2,130.68,Running,None
2024-01-15 00:30:00,Machine_3,101.19,Idle,None
2024-01-15 00:30:00,Machine_4,175.51,Running,None
2024-01-15 00:30:00,Machine_5,124.94,Idle,None
2024-01-15 00:30:00,Machine_6,141.00,Running,None
2024-01-15 00:30:00,Machine_7,117.32,Running,None
2024-01-15 00:30:00,Machine_8,186.91,Idle,None
2024-01-15 00:30:00,Machine_9,169.86,Running,Low Pressure
2024-01-15 00:30:00,Machine_10,113.14,Running,None
2024-01-15 00:45:00,Machine_1,158.55,Running,None
2024-01-15 00:45:00,Machine_2,126.60,Running,None
2024-01-15 00:45:00,Machine_3,141.05,Running,None
2024-01-15 00:45:00,Machine_4,188.22,Error,Overheat
2024-01-15 00:45:00,Machine_5,131.80,Running,None
2024-01-15 00:45:00,Machine_6,116.90,Running,Overheat
2024-01-15 00:45:00,Machine_7,120.38,Running,None
2024-01-15 00:45:00,Machine_8,125.50,Idle,None
2024-01-15 00:45:00,Machine_9,131.38,Running,None
2024-01-15 00:45:00,Machine_10,155.80,Running,None
2024-01-15 01:00:00,Machine_1,101.44,Running,None
2024-01-15 01:00:00,Machine_2,170.62,Running,None
2024-01-15 01:00:00,Machine_3,182.40,Running,None
2024-01-15 01:00:00,Machine_4,191.35,Idle,None
2024-01-15 01:00:00,Machine_5,101.99,Running,None
2024-01-15 01:00:00,Machine_6,133.71,Running,None
2024-01-15 01:00:00,Machine_7,179.34,Running,None
2024-01-15 01:00:00,Machine_8,179.25,Running,None
2024-01-15 01:00:00,Machine_9,111.78,Running,None
2024-01-15 01:00:00,Machine_10,132.54,Running,None
2024-01-15 01:15:00,Machine_1,193.53,Idle,None
2024-01-15 01:15:00,Machine_2,183.14,Running,None
2024-01-15 01:15:00,Machine_3,158.52,Running,None
2024-01-15 01:15:00,Machine_4,185.52,Idle,None
2024-01-15 01:15:00,Machine_5,100.17,Running,None
2024-01-15 01:15:00,Machine_6,199.97,Running,None
2024-01-15 01:15:00,Machine_7,179.50,Running,None
2024-01-15 01:15:00,Machine_8,173.71,Idle,None
2024-01-15 01:15:00,Machine_9,198.47,Running,None
2024-01-15 01:15:00,Machine_10,101.49,Running,None
2024-01-15 01:30:00,Machine_1,196.94,Running,None
2024-01-15 01:30:00,Machine_2,166.50,Running,None
2024-01-15 01:30:00,Machine_3,166.53,Running,None
2024-01-15 01:30:00,Machine_4,148.76,Running,None
2024-01-15 01:30:00,Machine_5,118.62,Running,None
2024-01-15 01:30:00,Machine_6,195.61,Error,Vibration High
2024-01-15 01:30:00,Machine_7,114.17,Idle,None
2024-01-15 01:30:00,Machine_8,166.26,Error,Low Pressure
2024-01-15 01:30:00,Machine_9,197.73,Idle,None
2024-01-15 01:30:00,Machine_10,166.83,Running,None
2024-01-15 01:45:00,Machine_1,147.88,Running,None
2024-01-15 01:45:00,Machine_2,170.53,Running,None
2024-01-15 01:45:00,Machine_3,106.49,Running,None
2024-01-15 01:45:00,Machine_4,119.34,Running,None
2024-01-15 01:45:00,Machine_5,138.68,Running,None
2024-01-15 01:45:00,Machine_6,166.28,Running,None
2024-01-15 01:45:00,Machine_7,156.51,Running,None
2024-01-15 01:45:00,Machine_8,196.04,Running,None
2024-01-15 01:45:00,Machine_9,128.68,Running,Low Pressure
2024-01-15 01:45:00,Machine_10,176.78,Running,None
2024-01-15 02:00:00,Machine_1,115.44,Running,None
2024-01-15 02:00:00,Machine_2,182.33,Running,None
2024-01-15 02:00:00,Machine_3,177.95,Running,None
2024-01-15 02:00:00,Machine_4,176.79,Error,Low Pressure
2024-01-15 02:00:00,Machine_5,142.23,Running,Overheat
2024-01-15 02:00:00,Machine_6,158.17,Running,None
2024-01-15 02:00:00,Machine_7,107.54,Running,Low Pressure
2024-01-15 02:00:00,Machine_8,106.19,Running,None
2024-01-15 02:00:00,Machine_9,147.13,Running,None
2024-01-15 02:00:00,Machine_10,183.64,Running,None
2024-01-15 02:15:00,Machine_1,194.30,Running,None
2024-01-15 02:15:00,Machine_2,130.00,Running,None
2024-01-15 02:15:00,Machine_3,114.93,Running,None
2024-01-15 02:15:00,Machine_4,161.06,Running,None
2024-01-15 02:15:00,Machine_5,152.35,Idle,None
2024-01-15 02:15:00,Machine_6,116.55,Running,None
2024-01-15 02:15:00,Machine_7,136.11,Running,None
2024-01-15 02:15:00,Machine_8,134.14,Running,None
2024-01-15 02:15:00,Machine_9,191.83,Running,None
2024-01-15 02:15:00,Machine_10,187.99,Running,None
2024-01-15 02:30:00,Machine_1,187.18,Running,None
2024-01-15 02:30:00,Machine_2,152.05,Running,None
2024-01-15 02:30:00,Machine_3,151.81,Idle,None
2024-01-15 02:30:00,Machine_4,160.50,Running,None
2024-01-15 02:30:00,Machine_5,171.67,Running,None
2024-01-15 02:30:00,Machine_6,115.22,Running,None
2024-01-15 02:30:00,Machine_7,139.44,Running,Low Pressure
2024-01-15 02:30:00,Machine_8,187.77,Idle,None
2024-01-15 02:30:00,Machine_9,198.75,Running,None
2024-01-15 02:30:00,Machine_10,165.76,Running,None
2024-01-15 02:45:00,Machine_1,162.51,Running,None
2024-01-15 02:45:00,Machine_2,110.87,Running,None
2024-01-15 02:45:00,Machine_3,102.78,Running,None
2024-01-15 02:45:00,Machine_4,169.14,Idle,None
2024-01-15 02:45:00,Machine_5,192.04,Running,None
2024-01-15 02:45:00,Machine_6,192.03,Running,None
2024-01-15 02:45:00,Machine_7,167.94,Running,None
2024-01-15 02:45:00,Machine_8,166.39,Error,Vibration High
2024-01-15 02:45:00,Machine_9,149.03,Running,None
2024-01-15 02:45:00,Machine_10,135.64,Running,None
2024-01-15 03:00:00,Machine_1,160.50,Running,None
2024-01-15 03:00:00,Machine_2,191.69,Running,None
2024-01-15 03:00:00,Machine_3,119.11,Running,None
2024-01-15 03:00:00,Machine_4,135.53,Idle,None
2024-01-15 03:00:00,Machine_5,114.87,Running,None
2024-01-15 03:00:00,Machine_6,175.49,Running,None
2024-01-15 03:00:00,Machine_7,144.49,Running,None
2024-01-15 03:00:00,Machine_8,171.48,Running,Overheat
2024-01-15 03:00:00,Machine_9,168.98,Running,None
2024-01-15 03:00:00,Machine_10,164.28,Running,None
2024-01-15 03:15:00,Machine_1,122.68,Running,None
2024-01-15 03:15:00,Machine_2,140.27,Running,Overheat
2024-01-15 03:15:00,Machine_3,175.95,Running,None
2024-01-15 03:15:00,Machine_4,129.88,Error,Vibration High
2024-01-15 03:15:00,Machine_5,125.47,Error,Overheat
2024-01-15 03:15:00,Machine_6,174.70,Running,None
2024-01-15 03:15:00,Machine_7,143.11,Error,Low Pressure
2024-01-15 03:15:00,Machine_8,136.10,Running,None
2024-01-15 03:15:00,Machine_9,175.73,Running,None
2024-01-15 03:15:00,Machine_10,107.14,Running,None
2024-01-15 03:30:00,Machine_1,138.53,Running,None
2024-01-15 03:30:00,Machine_2,116.25,Idle,None
2024-01-15 03:30:00,Machine_3,143.95,Running,Low Pressure
2024-01-15 03:30:00,Machine_4,163.65,Running,None
2024-01-15 03:30:00,Machine_5,191.27,Running,None
2024-01-15 03:30:00,Machine_6,141.78,Running,None
2024-01-15 03:30:00,Machine_7,185.51,Idle,None
2024-01-15 03:30:00,Machine_8,125.91,Running,None
2024-01-15 03:30:00,Machine_9,144.95,Running,None
2024-01-15 03:30:00,Machine_10,157.42,Running,Vibration High
2024-01-15 03:45:00,Machine_1,188.91,Error,Low Pressure
2024-01-15 03:45:00,Machine_2,153.25,Idle,None
2024-01-15 03:45:00,Machine_3,104.66,Running,None
2024-01-15 03:45:00,Machine_4,132.78,Running,None
2024-01-15 03:45:00,Machine_5,110.55,Idle,None
2024-01-15 03:45:00,Machine_6,101.01,Running,None
2024-01-15 03:45:00,Machine_7,102.38,Running,None
2024-01-15 03:45:00,Machine_8,152.88,Running,None
2024-01-15 03:45:00,Machine_9,190.40,Running,None
2024-01-15 03:45:00,Machine_10,192.16,Running,None
2024-01-15 04:00:00,Machine_1,107.89,Running,None
2024-01-15 04:00:00,Machine_2,123.04,Running,None
2024-01-15 04:00:00,Machine_3,193.42,Running,None
2024-01-15 04:00:00,Machine_4,149.58,Running,None
2024-01-15 04:00:00,Machine_5,180.62,Running,None
2024-01-15 04:00:00,Machine_6,194.33,Running,None
2024-01-15 04:00:00,Machine_7,191.19,Running,None
2024-01-15 04:00:00,Machine_8,137.98,Running,None
2024-01-15 04:00:00,Machine_9,106.23,Running,None
2024-01-15 04:00:00,Machine_10,172.35,Idle,None
2024-01-15 04:15:00,Machine_1,130.16,Running,None
2024-01-15 04:15:00,Machine_2,124.82,Running,None
2024-01-15 04:15:00,Machine_3,134.83,Running,Vibration High
2024-01-15 04:15:00,Machine_4,179.39,Running,None
2024-01-15 04:15:00,Machine_5,149.51,Error,Vibration High
2024-01-15 04:15:00,Machine_6,120.67,Running,None
2024-01-15 04:15:00,Machine_7,178.19,Running,None
2024-01-15 04:15:00,Machine_8,153.78,Running,None
2024-01-15 04:15:00,Machine_9,153.90,Running,Low Pressure
2024-01-15 04:15:00,Machine_10,142.34,Running,None
2024-01-15 04:30:00,Machine_1,106.89,Running,None
2024-01-15 04:30:00,Machine_2,152.78,Idle,None
2024-01-15 04:30:00,Machine_3,176.89,Running,None
2024-01-15 04:30:00,Machine_4,178.26,Running,None
2024-01-15 04:30:00,Machine_5,158.52,Running,None
